Country,Activity,Location,Sex,Fatal Y/N,Species,Type
Australia,Fishing related,Michaelmas Island King George Sound,M,Yes,Great White shark 4.5 m,Unprovoked
Brazil,Swimming related,Boa Via gem beach,F,No,Tiger shark 3m,Unprovoked
Brazil,Swimming related,PierrebBeach,M,No,Bull shark,Unprovoked
Australia,Surfing related,Red Cliff beach Yuraygir National Park,M,No,Bull shark ,Unprovoked
USA,Surfing related,Cromwell's beach Oahu,M,No,2.4m (8ft) shark,Unprovoked
USA,Other,Galveston,M,No,Hammerhead,Provoked
Australia,Fishing related,Kennedy Shoal,M,Yes,Undetermined Bull shark most likely,Unprovoked
Hawaii,Boating related,Olowalu,Unknown,No,Tiger shark > 12 ft ,Unprovoked
USA,Surfing related,Assateague State Park,M,No,Undetermined possibly a small shark ,Questionable
Australia,Diving related,Horseshoe Reef  Rottnest Island,M,Yes,Great White Shark,Unprovoked
Maldives,Swimming related,Kooddoo,M,No,Unknown,UNprovoked
Australia,Surfing related,Middleton Beach Fleurieu Peninsula Adelaide,M,No,Bronze Whaler,Unprovoked
Bahamas,Swimming related,Fresh Creek,F,No,Unknown,Unprovoked
Australia,Diving related,Cape Jaffa Limestone Coast,M,No,Great White Shark 3.5m (11.5ft),Unprovoked
Australia,Surfing related,Little Avalon Beach,M,No,Unknown,Unprovoked
USA,Surfing related,Big River Beach Mendocino County,M,No,Great White Shark,Unprovoked
Australia,Swimming related,Exmouth,F,No,Unknown shark 5ft (1.5m),Unprovoked
Australia,Other,Exmouth,M,No,Great White Shark 10ft (3m),Unprovoked
Australia,Diving related,Lady Elliott Island,M,No,Unknown,Unprovoked
New Caledonia,Other,Anse Vata near Point Magnin,M,Yes,Tiger or bull shark implicated,Unprovoked
Cayman Islands,Diving related,Caribbean Sea,M,No,Juvenile Tiger shark 7ft (2.1m),Unprovoked
Brazil,Swimming related,Del Chifre Beach in Olinda,M,Yes,Unknown bull and tiger sharks frequent the area,Unprovoked
Australia,Surfing related,Angels Beach East Ballina,M,No,Unknown,Unprovoked
Australia,Swimming related,Cooee Beach west of Burnie,F,No,1.7m Seven Gill shark,Unprovoked
Australia,Surfing related,Point Plomber North of Port Macquarie,M,No,Bull shark,Unprovoked
Australia,Surfing related,Dee Why,M,No,Bull shark,Unprovoked
Australia,Surfing related,North Steyne ,M,No,5m shark species not determined,Unprovoked
Australia,Other,Nielsen Park Vaucluse Sydney Harbour,M,Yes,Bull shark,Unprovoked
USA,Surfing related,Mendocino County ,M,No,Suspected GWS,Unprovoked
Australia,Surfing related,Avalon Beach,M,No,Unknown,Unprovoked
US Virgin Islands,Diving related,Dorsch Beach,F,Yes,Unknown ,Unprovoked
Mozambique,Diving related,Vilanculous District,M,Yes,Unknown,Unprovoked
New Caledonia,Diving related,Between Bourail and Moindou,M,No,Unknown,Provoked
Mozambique,Other,Prainha,Unknown,Yes,Unknown,Unprovoked
Australia,Diving related,Ocean Reef North Perth,M,No,Great White Shark,Unprovoked
USA,Swimming related,Lovers Point Pacific Grove,F,Yes,Great White Shark,Unprovoked
USA,Surfing related,Salmon Creek,M,No,Suspected Great White Shark,Unprovoked
USA,Other,"Ka'alu""alu Beach",M,No,Black Tip Reef Shark,Provoked
Australia,Swimming related,Crowdy Bay,M,No,3m Bull shark ,Unprovoked
Australia,Swimming related,Crowdy Bay,F,Yes,3m Bull shark ,Unprovoked
Australia,Surfing related,Prevelly Beach Magaret River,M,No,Great White Shark,Unprovoked
French Polynesia,Swimming related,Hakahau Bay,M,No,3m shark,Unprovoked
USA,Swimming related,Pine Trees Hanalei Bay Kaui,M,No,Unknown,Unprovoked
USA,Fishing related,Matagorda Beach Matagorda,M,No,Not stgated,Unprovoked
Samoa,Surfing related,Aga Reef Resort Lalomanu,M,No,Suspected Tiger shark,Unprovoked
Columbia,Swimming related,Catagena Province,M,No,Nurse shark ,Unprovoked
Australia,Fishing related,Cook Esplanade Thursday Island,M,No,Tiger or Bull shark,Unprovoked
Australia,Surfing related,Kangaroo Island,M,No,Bronze whaler?,Unprovoked
USA,Swimming related,Catalina Island,M,No,unknown 1.2m shark,Unprovoked
Costa Rica,Diving related,Cocos Islands,M,No,Tiger shark 4m,Provoked
Australia,Surfing related,Long Reef Sydney,M,Yes,Great White Shark,Unprovoked
USA,Diving related,Horseshoe reef Key Largo,M,No,Not stated,Unprovoked
USA,Swimming related,Galveston,F,No,Not stated,Unprovoked
Australia,Surfing related,Cabarita Beach,M,No,5m (16.5ft) Great White,Unprovoked
Bahamas,Fishing related,North of Grand Bahama near Freeport,M,No,Undetermined,Unprovoked
USA,Fishing related,Cayo Costa Boca Grande,M,No,Lemon shark 1.8 m (6ft),Provoked
Australia,Surfing related,Tathra Beach ,M,No,Suspected Great White,Unprovoked
Puerto Rico,Swimming related,Carolina Beach,F,No,Undetermined,Unprovoked
Australia,Boating related,Seacliff beach Adelaide,M,No,Great White Shark est 3m (10ft),Unprovoked
French Polynesia,Swimming related,Taiohae Bay,M,No,Undetermined,Unprovoked
Spain,Swimming related,Playa de Palma beach,F,No,Undetermined,Unprovoked
Canary Islands,Surfing related,Los Mollinas,M,No,Undetermined,Unprovoked
